"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",55.215186984475,5.85744274585177,496.25581144838,9.42650050204558,0
"group1",2.01010005999561,5.05504415823553,480.219823250337,0.39764243339414,0.691070471012321
"group2",3.14791636007363,2.18523005223779,487.485499740344,1.44054231583077,0.150355967378592
"group3",-3.74192334748626,2.53958222447357,496.182078851008,-1.473440517667,0.141266384765587
"group4",0.203064729718524,3.10977128917844,493.738476364736,0.0652989274243931,0.947962426521456
"group5",-1.2869571197991,2.60206390882117,496.667203216306,-0.494590895879316,0.621107627583424
"group6",-3.42668352669932,1.97027994272028,491.277282977074,-1.73918611888635,0.0826283944657527
"group9",-0.270088297941728,2.23062716844528,488.693141058902,-0.121081775458682,0.903676031722953
"group19",1.65897576063713,2.0538489995646,488.318816549819,0.807739887883103,0.419633623328666
"group22",-1.5924782519172,3.56096714833602,514.178250095212,-0.447203859395708,0.654916195482626
"group25",9.92196457036584,4.27907759222428,494.591724490116,2.31871574107362,0.0208171910748995
"group29",4.16214951883313,2.42261807697522,490.521805275948,1.71803783617012,0.08642077889836
"group34",11.6822510975976,2.5784756390199,494.731061413276,4.53068119815091,7.37892863389433e-06
"group56",-1.25684845232953,4.70809993353178,513.60695739013,-0.266954497583636,0.789611346740306
"TIMEpostAV45_AVLT.",0.168609674510435,0.507304879925704,331.909217085256,0.332363596689881,0.739824526881269
"APOE4_BIN1",-1.23600271813445,0.973059069280123,496.489394668398,-1.27022372757787,0.204599889795985
"Age.AV45",-0.385110260822469,0.0585157013566159,496.643857612844,-6.58131496152576,1.18684395644664e-10
"Gender",5.14537824910068,0.885147474798087,494.501274244194,5.81301805134156,1.10122391205891e-08
"Edu..Yrs.",0.36554803951639,0.158187822282237,497.141946944627,2.31084816923634,0.0212495516095446
"group1:TIMEpostAV45_AVLT.",0.862718579865637,1.27930336477944,381.167003341986,0.674365911649405,0.500487491600867
"group2:TIMEpostAV45_AVLT.",0.275996129228951,0.57808088722518,321.041109930692,0.477435139836135,0.633377166371343
"group3:TIMEpostAV45_AVLT.",-3.04312764129197,0.717319098620643,346.031474288675,-4.24236249549706,2.84302529232061e-05
"group4:TIMEpostAV45_AVLT.",0.27020158940066,0.84380564927744,314.710275698938,0.32021780090242,0.749015728031854
"group5:TIMEpostAV45_AVLT.",-3.66197311917638,0.733514166258642,389.309648475616,-4.99236863802457,9.01597503322193e-07
"group6:TIMEpostAV45_AVLT.",-1.95125856578664,0.545836873856314,350.089655923027,-3.57480166556188,0.000399691595502905
"group9:TIMEpostAV45_AVLT.",-1.50500296041803,0.601184546139887,345.337613960912,-2.50339595400683,0.0127618098818729
"group19:TIMEpostAV45_AVLT.",0.281681644483152,0.548200993712009,331.22694114578,0.513829138790526,0.607714055652147
"group22:TIMEpostAV45_AVLT.",-0.538526957879652,1.02971668351917,416.660882983182,-0.522985561464513,0.601262293374319
"group25:TIMEpostAV45_AVLT.",-0.983811236692215,1.31805259428819,372.327983730062,-0.746412731142584,0.455889158873054
"group29:TIMEpostAV45_AVLT.",-0.0367773307818189,0.634071155594998,331.341167554578,-0.0580018984577652,0.953782079437607
"group34:TIMEpostAV45_AVLT.",-1.3689362388715,0.696841071195918,308.970335124481,-1.96448845433598,0.0503694712477181
"group56:TIMEpostAV45_AVLT.",0.0387740827069087,1.31113309521883,405.707310664512,0.0295729570463151,0.976422174802888
"TIMEpostAV45_AVLT.:APOE4_BIN1",-0.226927431587847,0.263850494971255,375.583796880246,-0.860060662810468,0.390304253025877
