pattern,0,2,3,5,6,8,9,10,12,17,20,21,AD-AD,AD-EMCI,AD-LMCI,AD-N,EMCI-AD,EMCI-EMCI,EMCI-LMCI,EMCI-N,LMCI-AD,LMCI-EMCI,LMCI-LMCI,LMCI-N,N-AD,N-EMCI,N-LMCI,N-N,count,neg-neg,neg-pos,pos-neg,pos-pos
0,0.883720930233,0.093023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232558139535,0.046511627907,0.0,0.0,0.0,0.0,0.279069767442,0.0,0.0,0.395348837209,0.0,0.0697674418605,0.0,0.0,0.0,0.0,0.186046511628,43.0,0.0,0.0,0.0,1.0
2,0.1875,0.6875,0.0,0.0,0.0,0.0208333333333,0.0416666666667,0.0,0.0,0.0,0.0,0.0625,0.0833333333333,0.0,0.0,0.0,0.0625,0.291666666667,0.0,0.0208333333333,0.208333333333,0.0,0.104166666667,0.0,0.0625,0.0,0.0416666666667,0.125,48.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.805309734513,0.0884955752212,0.0442477876106,0.0176991150442,0.0,0.0,0.00884955752212,0.00884955752212,0.0,0.0,0.0176991150442,0.0,0.0,0.0,0.0,0.247787610619,0.0,0.0796460176991,0.0265486725664,0.0,0.070796460177,0.0353982300885,0.0176991150442,0.0,0.0442477876106,0.442477876106,113.0,0.902654867257,0.0619469026549,0.0,0.0353982300885
5,0.0,0.0588235294118,0.137254901961,0.725490196078,0.0,0.0,0.0,0.0,0.0392156862745,0.0196078431373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313725490196,0.0,0.0,0.0392156862745,0.0,0.176470588235,0.0,0.0,0.0,0.0,0.411764705882,51.0,0.450980392157,0.196078431373,0.0588235294118,0.294117647059
6,0.0,0.0,0.234042553191,0.0212765957447,0.68085106383,0.0,0.0,0.0,0.0,0.063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276595744681,0.0,0.0,0.0,0.0,0.170212765957,0.0,0.0,0.0,0.0212765957447,0.468085106383,47.0,0.936170212766,0.063829787234,0.0,0.0
8,0.0,0.333333333333,0.0,0.0,0.0,0.583333333333,0.0,0.0,0.0,0.0,0.0833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.416666666667,0.0,0.0,0.166666666667,0.0,0.25,0.0,0.0,0.0,0.0833333333333,0.0833333333333,12.0,0.0,0.0833333333333,0.0,0.916666666667
9,0.0967741935484,0.0322580645161,0.0,0.0,0.0,0.0,0.806451612903,0.0,0.0,0.0322580645161,0.0,0.0,0.0967741935484,0.0,0.0,0.0,0.129032258065,0.290322580645,0.0,0.0,0.193548387097,0.0,0.193548387097,0.0,0.0322580645161,0.0,0.0322580645161,0.0322580645161,31.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.3,10.0,0.4,0.3,0.1,0.2
12,0.0,0.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.142857142857,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.142857142857,0.0,0.142857142857,0.285714285714,7.0,0.142857142857,0.285714285714,0.0,0.571428571429
17,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.777777777778,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.222222222222,0.0,0.0,0.0,0.222222222222,0.0,0.0,0.0,0.222222222222,9.0,0.0,0.0,0.0,1.0
20,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,10.0,0.0,0.0,0.0,1.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.428571428571,0.0,0.0,0.0,0.0,0.285714285714,0.0,0.0,0.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
