CTX_BANKSSTS,CTX_PRECENTRAL,CTX_MEDIALORBITOFRONTAL,CTX_PARSORBITALIS,CAUDATE,CTX_LINGUAL,THALAMUS_PROPER,CEREBELLUM_CORTEX,PALLIDUM,CTX_ISTHMUSCINGULATE,AMYGDALA,CTX_PARAHIPPOCAMPAL,CTX_INFERIORTEMPORAL,CTX_LATERALOCCIPITAL,CTX_POSTCENTRAL,CTX_CUNEUS,CTX_PARSTRIANGULARIS,CTX_INSULA,CTX_CAUDALMIDDLEFRONTAL,CTX_ENTORHINAL,CTX_SUPERIORTEMPORAL,CTX_INFERIORPARIETAL,PUTAMEN,CTX_ROSTRALMIDDLEFRONTAL,CTX_PERICALCARINE,CEREBELLUM_WHITE_MATTER,CTX_SUPRAMARGINAL,CTX_ROSTRALANTERIORCINGULATE,CTX_PARACENTRAL,CTX_TRANSVERSETEMPORAL,CTX_MIDDLETEMPORAL,CTX_TEMPORALPOLE,CTX_FUSIFORM,CTX_SUPERIORPARIETAL,CTX_LATERALORBITOFRONTAL,CTX_PARSOPERCULARIS,HIPPOCAMPUS,CEREBRAL_WHITE_MATTER,BRAIN_STEM,ACCUMBENS_AREA,CTX_POSTERIORCINGULATE,CTX_FRONTALPOLE,CTX_PRECUNEUS,CTX_SUPERIORFRONTAL,CTX_CAUDALANTERIORCINGULATE
-0.062593,-0.431566,0.572056,-0.454754,0.621282,-0.007452,0.088963,-0.491993,-0.106343,0.390542,0.434402,0.447109,-0.352237,-0.614496,-0.330658,-0.387792,-0.227409,0.695040,-0.014967,0.035354,0.079618,-0.220496,0.428006,-0.148936,-0.021547,-0.338447,-0.249270,0.657760,-0.068968,0.418508,-0.227005,-0.043103,0.118876,-0.295969,0.002675,0.105323,0.106910,-0.392084,-0.269054,0.460701,0.569996,-0.331506,0.311242,0.370884,0.622884
-0.692466,-0.265709,-0.104193,-0.178002,0.449501,0.003387,0.767930,0.674162,0.621994,-0.075490,0.556125,0.064766,-0.330532,-0.398212,-0.510978,0.021884,-0.534896,0.218303,-0.698081,0.494010,-0.373517,-0.838317,0.574797,-0.718462,-0.320606,0.757360,-0.761745,0.045044,0.209082,0.044727,-0.339639,0.548677,-0.044586,-0.672340,0.027665,-0.565731,0.895896,0.759416,0.843876,-0.286049,-0.335523,-0.117612,-0.636716,-0.549001,0.159156
0.000000,-0.757736,0.435094,0.000000,-0.138407,0.000000,-0.000000,-0.087992,0.000000,0.312921,-0.000000,0.176905,-0.000000,0.124446,-0.646276,0.000000,-0.000000,-0.160376,-0.558821,0.000000,-0.328232,0.097058,-0.000000,-0.000000,0.000000,0.000000,-0.311450,0.162715,-0.090887,-0.140799,0.000000,0.000000,0.000000,-0.111155,0.273025,-0.000000,-0.147511,0.000000,-0.000000,0.227774,0.000000,0.469601,0.184432,-0.389159,0.000000
-0.152197,0.000000,-0.085034,-0.453020,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.399639,0.115646,-0.000000,-0.436063,-0.000000,-0.000000,0.000000,-0.194310,0.190849,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.202199,-0.000000,-0.000000,-0.000000,0.229966,0.312158,-0.524395,-0.553293,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.287950,-0.139633,-0.281655,-0.308853,-0.000000,0.571783,-0.000000,0.002822,-0.034402,0.294519,0.094545,0.236750,0.000000,-0.056121,-0.153917,0.394425,-0.490146,0.000000,-0.107753,0.000000,0.260748,-0.000000,-0.133522,-0.529674,0.525612,0.000000,-0.085979,-0.297827,0.022977,0.519171,-0.000000,-0.048222,0.441199,0.000000,-0.272373,-0.251285,0.097101,-0.000000,-0.000000,0.000000,0.043106,-0.508177,0.373154,-0.241427,-0.067524
-0.000000,0.000000,-0.175971,-0.354550,0.315090,-0.000000,0.239559,0.099955,-0.000000,0.221774,-0.000000,-0.000000,-0.615881,-0.000000,-0.000000,0.213900,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.073046,0.000000,-0.000000,0.390094,-0.414691,0.000000,-0.661673,0.000000,-0.515195,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.398122,-0.000000,0.000000,0.077850,0.295617
-0.179865,-0.000000,-0.187958,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.156336,0.000000,0.232691,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.281082,-0.200558,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
-0.000000,0.110275,0.186588,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.164940,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.225677,-0.000000,0.000000,0.000000,0.000000,-0.309132,0.296597,0.229281,0.102913,-0.230782,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
0.064487,-0.000000,0.000000,-0.000000,-0.200001,-0.437755,0.235266,-0.121842,0.290874,-0.000000,0.000000,-0.205646,0.000000,0.000000,-0.254862,-0.269290,-0.000000,-0.000000,0.048902,-0.495130,-0.000000,0.000000,0.000000,-0.000000,-0.338529,0.529293,-0.075454,0.000000,0.000000,-0.117870,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.432424,0.448661,-0.088078,0.000000,-0.000000,0.000000,0.000000,-0.082110
-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.219008,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.186255,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.257015,-0.000000,0.000000,0.135343,0.000000,-0.000000,-0.000000,0.230428
0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.441061,0.229899,0.000000,-0.000000,0.269165,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.446449,-0.000000,-0.000000,0.000000,-0.000000,-0.298061,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.058949,0.114919,-0.256457,-0.000000,0.000000,-0.220485,-0.455151
-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.250748,-0.183623,-0.333773,0.000000,-0.000000,-0.000000,-0.194216,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.391653,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.142108,0.371757,-0.000000,-0.000000
-0.000000,-0.000000,0.000000,0.000000,0.000000,0.236321,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.325003,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.263042,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.208254,0.000000,-0.000000,-0.000000
-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.369460,-0.000000,0.000000,0.000000,-0.396358,0.000000,-0.561547,-0.319121,-0.000000,-0.000000,0.391553,-0.000000,-0.000000,0.000000,-0.451758,0.000000,-0.000000,0.000000,0.000000,0.575503,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.394612,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.245753,0.000000,0.000000,0.184768,0.000000
-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.275683,0.196667,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.556261,0.000000,0.000000,-0.000000,-0.308434,-0.000000,-0.000000,-0.000000,-0.240490,0.180756,0.000000,0.354582,0.000000,-0.000000,-0.125692,-0.000000,-0.000000,-0.000000,-0.000000,0.283917,-0.087134,0.000000,-0.154895,-0.000000,0.000000
0.204376,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.285375,0.000000,-0.297924,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.198847,-0.000000,0.365279,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.210731,-0.373084,0.000000,0.000000,0.000000
-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.097382,-0.000000,0.000000,-0.000000,0.249465,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.373387,0.000000
-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.116458,-0.000000,0.258878,0.000000,0.136543,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.148246,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.227128,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
